工作项类型,编号,标题,描述,父级工作项,优先级,迭代,故事点,预估工时,负责人,开始日期,截止日期,标签,验收标准
任务,F4.2-S2-T4,测控/信标 S 波段频段豁免规则配置,,三重校验体系（语法/语义/合规）,紧急,Sprint 9,,4,质量师,2027-01-18,2027-01-31,"校验,载荷设计流程",
任务,F4.2-S2-T5,校验结果报告自动生成与阻断项清单,,三重校验体系（语法/语义/合规）,紧急,Sprint 9,,6,开发,2027-01-18,2027-01-31,"自动化,载荷设计流程",
任务,F4.2-S3-T1,L1 自动降级规则（8条）配置与验证,,异常分级与处置机制,紧急,Sprint 9,,6,开发,2027-01-18,2027-01-31,"异常,载荷设计流程",
任务,F4.2-S3-T2,L2 告警放行规则（16条）配置与验证,,异常分级与处置机制,紧急,Sprint 9,,6,开发,2027-01-18,2027-01-31,"异常,载荷设计流程",
任务,F4.2-S3-T3,L3 中止转人工规则（6条）与中断机制,,异常分级与处置机制,紧急,Sprint 9,,6,开发,2027-01-18,2027-01-31,"异常,载荷设计流程",
任务,F4.2-S3-T4,异常触发日志与追溯报表,,异常分级与处置机制,紧急,Sprint 9,,4,SM,2027-01-18,2027-01-31,"度量,载荷设计流程",
任务,F5.1-S1-T1,平台承载与功耗适配校核（利用率≤90%）,,平台承载/供电/寿命适配校核,高,Sprint 10,,6,总体设计师,2027-02-01,2027-02-14,"平台,载荷设计流程",
任务,F5.1-S1-T2,包络尺寸与安装接口/布局设计,,平台承载/供电/寿命适配校核,高,Sprint 10,,8,结构工程师,2027-02-01,2027-02-14,"平台,载荷设计流程",
任务,F5.1-S1-T3,平台寿命与任务寿命匹配校核,,平台承载/供电/寿命适配校核,高,Sprint 10,,4,PM,2027-02-01,2027-02-14,"平台,载荷设计流程",
任务,F5.1-S1-T4,轨道兼容性校核与平台候选排序,,平台承载/供电/寿命适配校核,高,Sprint 10,,6,总体设计师,2027-02-01,2027-02-14,"平台,载荷设计流程",
任务,F5.1-S2-T1,波束指向精度需求反推与指向损耗核算,,姿态/轨道耦合与微振动影响分析,高,Sprint 10,,8,链路工程师,2027-02-01,2027-02-14,"耦合,载荷设计流程",
任务,F5.1-S2-T2,姿态稳定度对窄波束/激光链路影响分析,,姿态/轨道耦合与微振动影响分析,高,Sprint 10,,8,控制工程师,2027-02-01,2027-02-14,"耦合,载荷设计流程",
任务,F5.1-S2-T3,平台微振动量级与 FSM 补偿需求,,姿态/轨道耦合与微振动影响分析,高,Sprint 10,,6,控制工程师,2027-02-01,2027-02-14,"耦合,载荷设计流程",
任务,F5.1-S2-T4,大口径天线展开姿态扰动与侧摆能力评估,,姿态/轨道耦合与微振动影响分析,高,Sprint 10,,6,控制工程师,2027-02-01,2027-02-14,"耦合,载荷设计流程",
任务,F5.2-S1-T1,运载运力校核（GTO/LEO/SSO）与候选排序,,运载选型与发射环境校核,高,Sprint 10,,6,总体设计师,2027-02-01,2027-02-14,"运载,载荷设计流程",
任务,F5.2-S1-T2,整流罩包络与天线收纳/展开方案设计,,运载选型与发射环境校核,高,Sprint 10,,8,结构工程师,2027-02-01,2027-02-14,"运载,载荷设计流程",
任务,F5.2-S1-T3,发射力学环境（振动/冲击/噪声）校核,,运载选型与发射环境校核,高,Sprint 10,,8,结构工程师,2027-02-01,2027-02-14,"运载,载荷设计流程",
任务,F5.2-S1-T4,发射窗口与入轨精度对覆盖的影响分析,,运载选型与发射环境校核,高,Sprint 10,,6,轨道工程师,2027-02-01,2027-02-14,"运载,载荷设计流程",
任务,F5.2-S1-T5,备选运载方案与风险预案,,运载选型与发射环境校核,高,Sprint 10,,4,PM,2027-02-01,2027-02-14,"风险,载荷设计流程",
任务,F5.3-S1-T1,电接口与射频通道 ICD 定义,,分系统集成接口定义（ICD）,高,Sprint 11,,8,总体设计师,2027-02-15,2027-02-28,"接口,载荷设计流程",
任务,F5.3-S1-T2,机械/热接口 ICD 定义,,分系统集成接口定义（ICD）,高,Sprint 11,,8,结构工程师,2027-02-15,2027-02-28,"接口,载荷设计流程",
任务,F5.3-S1-T3,数据协议与星内总线 ICD 定义,,分系统集成接口定义（ICD）,高,Sprint 11,,8,处理设计师,2027-02-15,2027-02-28,"接口,载荷设计流程",
任务,F5.3-S1-T4,四分系统集成顺序与耦合分析,,分系统集成接口定义（ICD）,高,Sprint 11,,6,总体设计师,2027-02-15,2027-02-28,"集成,载荷设计流程",
任务,F5.3-S1-T5,接口一致性检查与不一致项闭环,,分系统集成接口定义（ICD）,高,Sprint 11,,4,质量师,2027-02-15,2027-02-28,"接口,载荷设计流程",
任务,F5.3-S2-T1,天线方向图/增益/轴比测试方案,,验证试验大纲与仿真验证,高,Sprint 11,,8,天线设计师,2027-02-15,2027-02-28,"试验,载荷设计流程",
任务,F5.3-S2-T2,转发器通道 S 参数/群时延/互调测试方案,,验证试验大纲与仿真验证,高,Sprint 11,,8,转发器设计师,2027-02-15,2027-02-28,"试验,载荷设计流程",
任务,F5.3-S2-T3,激光终端 ATP 建链与跟踪精度测试方案,,验证试验大纲与仿真验证,高,Sprint 11,,8,激光设计师,2027-02-15,2027-02-28,"试验,载荷设计流程",
任务,F5.3-S2-T4,EMC/热真空/振动试验大纲（GJB150A/ECSS-Q-ST-70C）,,验证试验大纲与仿真验证,高,Sprint 11,,8,质量师,2027-02-15,2027-02-28,"试验,载荷设计流程",
任务,F5.3-S2-T5,链路预算模型仿真验证与实测/在轨数据对齐,,验证试验大纲与仿真验证,高,Sprint 11,,8,仿真工程师,2027-02-15,2027-02-28,"仿真,载荷设计流程",
任务,F5.3-S2-T6,波束赋形与覆盖仿真（HFSS/STK）,,验证试验大纲与仿真验证,高,Sprint 11,,8,仿真工程师,2027-02-15,2027-02-28,"仿真,载荷设计流程",
任务,F5.3-S2-T7,在轨重构场景数字孪生演练,,验证试验大纲与仿真验证,高,Sprint 11,,8,仿真工程师,2027-02-15,2027-02-28,"仿真,载荷设计流程",
任务,F5.3-S2-T8,可靠性与单点故障分析（MTBF/关键单机备份）,,验证试验大纲与仿真验证,高,Sprint 11,,8,可靠性工程师,2027-02-15,2027-02-28,"可靠性,载荷设计流程",
任务,F6.1-S1-T1,十章方案文档框架与内容编制,,载荷方案文档编制与排版,紧急,Sprint 12,,8,总体设计师,2027-03-01,2027-03-14,"文档,载荷设计流程",
任务,F6.1-S1-T2,波束覆盖/链路预算/单机链/质量功耗图表制作,,载荷方案文档编制与排版,紧急,Sprint 12,,8,仿真工程师,2027-03-01,2027-03-14,"文档,载荷设计流程",
任务,F6.1-S1-T3,公文格式排版与 DOC/PDF 导出,,载荷方案文档编制与排版,紧急,Sprint 12,,6,文档工程师,2027-03-01,2027-03-14,"文档,载荷设计流程",
任务,F6.1-S1-T4,文档自检（9项）与一致性核验,,载荷方案文档编制与排版,紧急,Sprint 12,,4,质量师,2027-03-01,2027-03-14,"质量,载荷设计流程",
任务,F6.1-S2-T1,交付物清单编制与齐套性检查,,交付物清单归档与配置管理,紧急,Sprint 12,,6,PM,2027-03-01,2027-03-14,"配置管理,载荷设计流程",
任务,F6.1-S2-T2,版本管理与基线归档,,交付物清单归档与配置管理,紧急,Sprint 12,,4,配置管理员,2027-03-01,2027-03-14,"配置管理,载荷设计流程",
任务,F6.1-S2-T3,遗留问题与技术债清单闭环,,交付物清单归档与配置管理,紧急,Sprint 12,,6,技术负责人,2027-03-01,2027-03-14,"质量,载荷设计流程",
任务,F6.2-S1-T1,知识图谱与最终方案一致性更新,,知识图谱与货架库/规则库更新,高,Sprint 12,,6,开发,2027-03-01,2027-03-14,"知识,载荷设计流程",
任务,F6.2-S1-T2,货架产品库扩容与飞行继承数据回填,,知识图谱与货架库/规则库更新,高,Sprint 12,,8,开发,2027-03-01,2027-03-14,"货架,载荷设计流程",
任务,F6.2-S1-T3,工程约束库（25条）与异常规则库（30条）迭代,,知识图谱与货架库/规则库更新,高,Sprint 12,,6,质量师,2027-03-01,2027-03-14,"知识,载荷设计流程",
任务,F6.2-S1-T4,缺口项转货架候选与研制跟踪,,知识图谱与货架库/规则库更新,高,Sprint 12,,4,PM,2027-03-01,2027-03-14,"货架,载荷设计流程",
任务,F6.2-S2-T1,选型引擎与链路预算工具固化,,设计工具固化与模板复用,高,Sprint 12,,8,开发,2027-03-01,2027-03-14,"工具,载荷设计流程",
任务,F6.2-S2-T2,三重校验与文档自动生成流程化,,设计工具固化与模板复用,高,Sprint 12,,6,开发,2027-03-01,2027-03-14,"工具,载荷设计流程",
任务,F6.2-S2-T3,复用模板库与最佳实践沉淀,,设计工具固化与模板复用,高,Sprint 12,,6,技术负责人,2027-03-01,2027-03-14,"知识,载荷设计流程",
任务,F6.2-S2-T4,工具使用手册与培训,,设计工具固化与模板复用,高,Sprint 12,,4,SM,2027-03-01,2027-03-14,"知识,载荷设计流程",
任务,F6.3-S1-T1,迭代速率与燃尽/周期时间统计,,度量统计与复盘改进,中,Sprint 12,,6,SM,2027-03-01,2027-03-14,"度量,载荷设计流程",
任务,F6.3-S1-T2,缺陷密度与返工率分析,,度量统计与复盘改进,中,Sprint 12,,6,质量师,2027-03-01,2027-03-14,"度量,载荷设计流程",
任务,F6.3-S1-T3,质量门禁通过率与阻塞项复盘,,度量统计与复盘改进,中,Sprint 12,,4,技术负责人,2027-03-01,2027-03-14,"度量,载荷设计流程",
任务,F6.3-S1-T4,回顾会改进项入库与流程模板更新,,度量统计与复盘改进,中,Sprint 12,,4,SM,2027-03-01,2027-03-14,"改进,载荷设计流程",
